Var1,expon_BIC,offset_BIC,mse_BIC,rsq_BIC,BF_model
0.6,0.546967863890089,-1.11399326534184,0.0146248150063512,0.841724157807829,8.26777004767355e-12
0.6,0.558884354949749,-1.21497931908591,0.0138774950478484,0.866628421092573,8.92248576629705e-14
0.6,0.69165756547899,-0.921985930043936,0.00943068084578986,0.918545472674927,2.67339897244352e-15
0.6,0.566558121880636,-1.13385947526402,0.0164137805632923,0.838147679123402,3.23913087141761e-13
0.6,0.662168207508157,-0.971487881128703,0.0167089808014291,0.861652013888693,3.38188632004046e-11
0.6,0.596573546550812,-1.07698290283074,0.0141064575362861,0.871262834788617,1.67744017081875e-14
0.6,0.681157512069509,-0.966465397518441,0.0144234165896648,0.872408154928203,2.9848298099233e-11
0.6,0.535247309642542,-1.15022451437738,0.0129436175105216,0.868657725525632,3.0619547243966e-17
0.6,0.614028585891557,-1.09530247337258,0.0184616725761043,0.845870506305233,2.1822482195711e-14
0.6,0.593400593376059,-1.098388363548,0.0112601281903171,0.893362057977574,1.56069498734935e-17
0.6,0.491496056219195,-1.27092033981839,0.0140050247764586,0.836024734910068,2.28899286250518e-10
0.6,0.622049593163916,-1.04836932539732,0.0138972337294336,0.876789173527085,3.3455887356069e-16
0.6,0.570104408273999,-1.10118693617292,0.0170547198285031,0.84119902784804,1.72441830418032e-14
0.6,0.544234227754408,-1.18053090401362,0.0114340829671774,0.88099845463412,2.92299839201301e-17
0.6,0.79827873263066,-1.11072501773978,0.0151932471203777,0.848536593444265,3.7122693926423e-11
0.6,0.56847509719621,-1.0911407758722,0.0137343306736127,0.8687563951903,6.75161849957077e-13
0.6,0.65375068679558,-0.979004176512659,0.0163329875902725,0.859820001381468,8.8410814597756e-12
0.6,0.634960850634491,-1.01326506755998,0.0194581408880799,0.847778180075111,2.01330435642086e-13
0.6,0.0449443490287865,-1.97476505935706,0.0171993590738017,0.825832152443489,1.46437816195521e-11
